# op-pl residual forms (Polish surface -> ordered ISV candidates) with basis.
# form	isv1,isv2 | NONE	basis
bać	bojati sę	lemma 'bać' (pl); pl gloss 'bać się'
bała	bojati sę	lemma 'bać' (pl); pl gloss 'bać się'
bliskie	blizky,približeny	lemma 'bliski' (pl); 
braku	deficit,nedostatȯk	lemma 'brak' (pl); 
bratem	brat	lemma 'brat' (pl); 
brzmiał	glåsiti,zvųčati	lemma 'brzmieć' (pl); 
brzmiały	glåsiti,zvųčati	lemma 'brzmieć' (pl); 
był	byti	lemma 'być' (pl); 
była	byti	lemma 'być' (pl); 
było	byti	lemma 'być' (pl); 
bólem	bolj	lemma 'ból' (pl); 
będziecie	byti	lemma 'być' (pl); 
cennego	cěnny	lemma 'cenny' (pl); 
cenniejszego	cěnny	lemma 'cenny' (pl); 
chce	hotěti,htěti	lemma 'chcieć' (pl); 
chcesz	hotěti,htěti	lemma 'chcieć' (pl); 
chciał	hotěti,htěti	lemma 'chcieć' (pl); 
chciała	hotěti,htěti	lemma 'chcieć' (pl); 
chciałabym	hotěti,htěti	lemma 'chcieć' (pl); 
chciałem	hotěti,htěti	lemma 'chcieć' (pl); 
chcą	hotěti,htěti	lemma 'chcieć' (pl); 
chodzi	idti o	reviewer-judged: 'chodzi o' = it's about (composed of canonical 'idti' + 'o'); 'hoditi' (walk) rejected as wrong sense

codziennego	dnevny,každodėnny	lemma 'codzienny' (pl); 
czasu	vrěmę,čas	lemma 'czas' (pl); 
czego	čto	lemma 'co' (pl); 
czegoś	něčto	lemma 'coś' (pl); 
czuła	čuti	lemma 'czuć' (pl); 
dam	dati	lemma 'dać' (pl); 
dawała	davati	lemma 'dawać' (pl); 
dni	dėnj	lemma 'dzień' (pl); 
dnia	dėnj	lemma 'dzień' (pl); 
dodał	dobaviti,dodati	lemma 'dodać' (pl); 
dodała	dobaviti,dodati	lemma 'dodać' (pl); 
dolinie	dolina	lemma 'dolina' (pl); 
dowody	dokaz,dovod	lemma 'dowód' (pl); 
dowodów	dokaz,dovod	lemma 'dowód' (pl); 
drugiego	drugy,vtory	lemma 'drugi' (pl); 
drugiej	drugy,vtory	lemma 'drugi' (pl); 
drugim	drugy,vtory	lemma 'drugi' (pl); 
dwie	dva	lemma 'dwa' (pl); 
