run_id,population,in_primary_statistics,configuration_id,canonical_configuration_id,label,canonical_config_label,provider,model,variant,identity_evidence,operator_reported_identity,condition,replicate,status,usable,analysis_included,exclusion_reason,prompt_hash,source_sha256,corpus_sha256,generation_date,interface_settings,deviation_ids,intake_verdict,end_marker_ok,size_floor_ok,file_prompt_ok,tokens_total,lexical_tokens,canonical_coverage,broader_coverage,unresolved_rate,exact_dictionary_matches,morphologically_valid_forms,unresolved_forms,ortho_outside_inventory,ortho_cyrillic,ortho_polish_specific,ortho_other_latin,ortho_other_script,ortho_unexpected_nonletters
2026-09-08__openai__gpt-5.6-luna__thinkoff__direct__r01,primary,true,openai__gpt-5.6-luna__thinkoff,,GPT-5.6 Luna — thinking OFF,,openai,gpt-5.6-luna,thinkoff,,,direct,r01,usable,true,true,,cb84558e95703693b1f658c7bc0b3cb44eb32dde3b88ad00e8bb59324b7b4851,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1950,1498,0.76769,0.872497,0.23231,1148,2,348,46,0,32,14,0,0
2026-09-08__openai__gpt-5.6-luna__thinkoff__primed__r01,primary,true,openai__gpt-5.6-luna__thinkoff,,GPT-5.6 Luna — thinking OFF,,openai,gpt-5.6-luna,thinkoff,,,primed,r01,usable,true,true,,602ca502dc63b8f2a3f60955cb8bffa0d3c07ad26b20a85299ed211c8ff313f4,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1956,1508,0.805703,0.888594,0.194297,1214,1,293,22,0,11,11,0,0
2026-09-08__openai__gpt-5.6-luna__thinkoff__direct__r02,primary,true,openai__gpt-5.6-luna__thinkoff,,GPT-5.6 Luna — thinking OFF,,openai,gpt-5.6-luna,thinkoff,,,direct,r02,usable,true,true,,cb84558e95703693b1f658c7bc0b3cb44eb32dde3b88ad00e8bb59324b7b4851,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1930,1480,0.772973,0.856757,0.227027,1142,2,336,83,4,38,41,0,0
2026-09-08__openai__gpt-5.6-luna__thinkoff__primed__r02,primary,true,openai__gpt-5.6-luna__thinkoff,,GPT-5.6 Luna — thinking OFF,,openai,gpt-5.6-luna,thinkoff,,,primed,r02,usable,true,true,,602ca502dc63b8f2a3f60955cb8bffa0d3c07ad26b20a85299ed211c8ff313f4,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1998,1546,0.835705,0.904269,0.164295,1289,3,254,25,0,11,14,0,0
2026-09-08__openai__gpt-5.6-luna__thinkoff__direct__r03,primary,true,openai__gpt-5.6-luna__thinkoff,,GPT-5.6 Luna — thinking OFF,,openai,gpt-5.6-luna,thinkoff,,,direct,r03,usable,true,true,,cb84558e95703693b1f658c7bc0b3cb44eb32dde3b88ad00e8bb59324b7b4851,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1947,1494,0.764391,0.863454,0.235609,1142,0,352,76,0,35,41,0,0
2026-09-08__openai__gpt-5.6-luna__thinkoff__primed__r03,primary,true,openai__gpt-5.6-luna__thinkoff,,GPT-5.6 Luna — thinking OFF,,openai,gpt-5.6-luna,thinkoff,,,primed,r03,usable,true,true,,602ca502dc63b8f2a3f60955cb8bffa0d3c07ad26b20a85299ed211c8ff313f4,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1970,1521,0.833662,0.902038,0.166338,1268,0,253,20,0,10,10,0,0
2026-09-08__openai__gpt-5.6-luna__thinkon__direct__r01,primary,true,openai__gpt-5.6-luna__thinkon,,GPT-5.6 Luna — thinking ON,,openai,gpt-5.6-luna,thinkon,,,direct,r01,usable,true,true,,99353c4ed7066521260dd69cdb1a68b2e0828a074f09c0747f3f8c2bcc9f45a4,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1928,1478,0.734777,0.840325,0.265223,1086,0,392,73,0,36,37,0,0
2026-09-08__openai__gpt-5.6-luna__thinkon__primed__r01,primary,true,openai__gpt-5.6-luna__thinkon,,GPT-5.6 Luna — thinking ON,,openai,gpt-5.6-luna,thinkon,,,primed,r01,usable,true,true,,36a2fb5f1bdc51320fa10f159afa12954d6471e26c4739a2ca0d592bf9058d73,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1970,1521,0.800789,0.874425,0.199211,1216,2,303,72,1,37,34,0,0
2026-09-08__openai__gpt-5.6-luna__thinkon__direct__r02,primary,true,openai__gpt-5.6-luna__thinkon,,GPT-5.6 Luna — thinking ON,,openai,gpt-5.6-luna,thinkon,,,direct,r02,usable,true,true,,99353c4ed7066521260dd69cdb1a68b2e0828a074f09c0747f3f8c2bcc9f45a4,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,,2026-09-08,not exposed,,usable,true,true,true,1956,1508,0.741379,0.849469,0.258621,1115,3,390,79,1,36,42,0,0
2026-09-08__openai__gpt-5.6-luna__thinkon__primed__r02,primary,true,openai__gpt-5.6-luna__thinkon,,GPT-5.6 Luna — thinking ON,,openai,gpt-5.6-luna,thinkon,,,primed,r02,usable,true,true,,36a2fb5f1bdc51320fa10f159afa12954d6471e26c4739a2ca0d592bf9058d73,5de968a6214d3d64bdb586b5121f494c4bb107e33546487a86bf8ecc57280723,aaad28e43935a40313585d77a33bfc788d97e8d69b081f9486af74d52ca1a857,2026-09-08,not exposed,,usable,true,true,true,1955,1505,0.788704,0.872425,0.211296,1185,2,318,79,5,36,38,0,0
